"Solute","TN_Cor","Ratio_Cor","Value","Var","SD"
"NH3_N",NA,NA,27335,80586834.2414456,8977.01700128977
"NO23_N",NA,NA,926918.918918919,3475367352.95822,58952.2463775403
"NO23_TN",0,0,0.64412268621579,0.00374604414873563,0.0612049356566579
"NO23_TN",0,1,0.64412268621579,0.000138001177293082,0.0117473902332851
"NO23_TN",1,0,0.64412268621579,0.00491081747195128,0.0700772250588683
"NO23_TN",1,1,0.64412268621579,7.78628438348834e-05,0.00882399251103963
"OrthoP_P",NA,NA,43150,8072845.76153553,2841.27537587182
"OrthoP_TP",NA,0,0.301758739083421,0.00316700480245037,0.0562761477221955
"OrthoP_TP",NA,1,0.301758739083421,0.000165910211187277,0.0128806137737018
"Si_TN",0,0,3.11004517704515,0.0146224630595889,0.120923376811884
"Si_TN",0,1,3.11004517704515,0.000553239302537845,0.0235210395717928
"Si_TN",1,0,3.11004517704515,0.0201764520102235,0.142043838339519
"Si_TN",1,1,3.11004517704515,0.00111212922978694,0.0333486016166637
"SiO2",NA,NA,4413611.11111111,51870124497.1534,227750.13610787
"TKN_N",NA,NA,509638.888888889,2137245198.07029,46230.3493180648
"TN_N",0,NA,1429805.55555556,5379543040.11776,73345.368225388
"TN_N",1,NA,1429805.55555556,9891570056.53747,99456.3726290954
"TN_TP",0,0,10.1377765488362,0.0942841370675346,0.307057221161683
"TN_TP",0,1,10.1377765488362,0.0133210037817319,0.115416652965384
"TN_TP",1,0,10.1377765488362,0.115376852606507,0.339671683551201
"TN_TP",1,1,10.1377765488362,0.00506544761835005,0.0711719580898969
"TP_P",NA,NA,146200,139251771.599425,11800.498786044
"TP_Si",NA,0,0.0339526911103548,0.000312014251542089,0.0176639251453942
"TP_Si",NA,1,0.0339526911103548,3.65937674830445e-05,0.0060492782613337
