"Site","Solute","TN_Cor","Ratio_Cor","Value","Var","SD"
"ALLE-NEWK","NH3_N",NA,NA,1340.5652173913,38306.9881157061,195.721710895103
"ALLE-NEWK","NO23_N",NA,NA,12384,638960.383169351,799.349975398355
"ALLE-NEWK","NO23_TN",0,0,0.626993792354097,0.00537588174210088,0.0733204046776944
"ALLE-NEWK","NO23_TN",0,1,0.626993792354097,5.8331931660438e-05,0.0076375343966779
"ALLE-NEWK","NO23_TN",1,0,0.626993792354097,0.00802836165492553,0.0896011252994377
"ALLE-NEWK","NO23_TN",1,1,0.626993792354097,0.000627647924367636,0.0250529025138333
"ALLE-NEWK","OrthoP_P",NA,NA,189.5,7018.69166337391,83.777632237811
"ALLE-NEWK","OrthoP_TP",NA,0,0.234065179110082,0.0432681589742366,0.208009997293968
"ALLE-NEWK","OrthoP_TP",NA,1,0.234065179110082,0.00572076330584149,0.0756357277074894
"ALLE-NEWK","Si_TN",0,0,4.22264207817284,0.0383300029783453,0.195780496930479
"ALLE-NEWK","Si_TN",0,1,4.22264207817284,0.00226377489574356,0.0475791434952707
"ALLE-NEWK","Si_TN",1,0,4.22264207817284,0.0558964909653815,0.236424387416741
"ALLE-NEWK","Si_TN",1,1,4.22264207817284,0.00567334141393007,0.0753215866397547
"ALLE-NEWK","SiO2",NA,NA,83796,33176354.5956667,5759.89189097041
"ALLE-NEWK","TKN_N",NA,NA,7538.8,1255803.12719018,1120.62622099886
"ALLE-NEWK","TN_N",0,NA,19922.8,1894763.51035954,1376.50409020807
"ALLE-NEWK","TN_N",1,NA,19922.8,3644522.73302522,1909.06331299547
"ALLE-NEWK","TN_TP",0,0,24.0796263273301,2.48492730494094,1.5763652194022
"ALLE-NEWK","TN_TP",0,1,24.0796263273301,1.43030531301564,1.19595372528189
"ALLE-NEWK","TN_TP",1,0,24.0796263273301,2.60023301342917,1.61252380243802
"ALLE-NEWK","TN_TP",1,1,24.0796263273301,1.13893312869879,1.0672080999968
"ALLE-NEWK","TP_P",NA,NA,1014.24,153774.044594148,392.140337881922
"ALLE-NEWK","TP_Si",NA,0,0.0117882369970549,0.00123547614882966,0.0351493406599563
"ALLE-NEWK","TP_Si",NA,1,0.0117882369970549,0.00082525176358562,0.0287271955398647
"MONO-BRAD","NH3_N",NA,NA,1423.31818181818,43994.1471284384,209.747817934868
"MONO-BRAD","NO23_N",NA,NA,10985,7337203.72593485,2708.72732587369
"MONO-BRAD","NO23_TN",0,0,0.643818981739081,0.0151436495836926,0.123059536744182
"MONO-BRAD","NO23_TN",0,1,0.643818981739081,0.00165564976128687,0.0406896763477773
"MONO-BRAD","NO23_TN",1,0,0.643818981739081,0.0207553206118192,0.144067069838389
